RECOMBINATIONS IN LINEAGES
Start     End       Lineage1        Lineage2         log(BF)
1154      1446      4               1                3.5       
1983      2149      2               1                10.4      
2150      2674      5               1                59.2      
1         364       5               2                23.2      
365       838       6               2                11.5      
839       1018      3               2                10.2      
1240      1811      5               2                31.2      
1812      1969      6               2                4.4       
2066      2273      3               2                12.2      
1         191       6               3                5.5       
365       838       6               3                19.5      
1013      1874      6               3                29.8      
2274      2737      6               3                16.6      
839       1002      5               4                10.8      
1240      1446      5               4                14.5      
1683      2677      5               4                62.6      
365       602       6               5                14.7      
