RECOMBINATIONS IN LINEAGES
Start     End       Lineage1        Lineage2         log(BF)
1         408       3               1                16.5      
751       912       4               1                3.4       
104       169       5               2                3.6       
506       679       5               2                5.4       
692       1177      5               2                16.1      
1178      1261      4               2                3.0       
1379      1470      5               2                2.8       
692       1105      5               3                8.6       
1379      1470      5               3                2.9       
1325      1470      5               4                2.5       
