RECOMBINATIONS IN LINEAGES
Start     End       Lineage1        Lineage2         log(BF)
3313      3507      4               1                23.9      
3508      3796      6               1                7.1       
1         713       5               2                56.7      
714       806       6               2                12.8      
807       1895      4               2                27.9      
1896      3095      6               2                58.8      
3096      3230      3               2                20.6      
3231      3544      6               2                31.2      
3649      3796      3               2                19.1      
1         3230      6               3                90.9      
3508      3594      5               4                40.9      
