RECOMBINATIONS IN LINEAGES
Start     End       Lineage1        Lineage2         log(BF)
81        142       4               1                2.3       
422       566       7               1                10.7      
567       590       4               1                5.4       
591       721       5               1                33.4      
55        226       6               2                26.8      
495       616       7               2                23.0      
617       642       6               2                3.1       
1         166       7               3                2.3       
167       207       5               3                22.1      
414       721       6               3                15.0      
264       323       6               4                3.1       
528       566       7               4                7.6       
698       721       6               4                4.5       
146       166       7               5                2.9       
237       616       7               5                35.3      
617       706       6               5                36.2      
707       721       7               5                5.4       
476       521       7               6                3.4       
