RECOMBINATIONS IN LINEAGES
Start     End       Lineage1        Lineage2         log(BF)
1         1588      7               1                37.2      
1589      1713      4               1                6.6       
1714      1809      7               1                7.0       
1831      1932      7               1                7.6       
1933      2565      4               1                8.3       
2566      2635      7               1                4.4       
2636      2734      5               1                4.9       
2963      3154      3               1                12.8      
3326      3543      3               1                11.9      
1         2271      7               2                16.2      
1         698       7               3                30.9      
699       889       5               3                4.6       
2151      2544      5               3                12.6      
3149      3333      7               3                8.7       
1         186       7               4                3.9       
1933      2689      6               4                179.0     
2690      2850      5               4                18.6      
2851      2992      6               4                64.7      
2993      3042      7               4                3.7       
3043      3073      6               4                25.6      
3074      3250      7               4                20.7      
3251      3363      5               4                9.3       
3364      3412      7               4                3.5       
3413      3543      5               4                14.6      
1         489       7               5                18.9      
1220      1387      7               5                2.7       
1         1421      7               6                17.7      
