RECOMBINATIONS IN LINEAGES
Start     End       Lineage1        Lineage2         log(BF)
2633      2773      2               1                9.6       
5704      6505      4               1                87.6      
262       503       3               2                2.3       
504       2362      4               2                49.8      
4025      4202      4               2                35.3      
4517      4605      4               2                4.2       
4701      5461      4               2                32.3      
5462      6505      3               2                96.0      
1         3157      4               3                337.1     
4185      4202      4               3                2.9       
4841      5544      4               3                18.3      
