RECOMBINATIONS IN LINEAGES
Start     End       Lineage1        Lineage2         log(BF)
326       588       4               2                60.1      
589       686       3               2                7.7       
687       942       4               2                58.5      
943       998       3               2                3.0       
999       1110      4               2                23.6      
1111      1181      3               2                4.6       
1182      1306      4               2                26.8      
1753      1819      3               2                4.2       
4361      4424      3               2                3.9       
1         5358      4               3                582.4     
5412      6118      4               3                131.0     
6180      6367      4               3                64.5      
6614      6658      4               3                5.5       
6684      6708      4               3                4.7       
6734      6774      4               3                4.5       
7450      7480      4               3                6.4       
