RECOMBINATIONS IN LINEAGES
Start     End       Lineage1        Lineage2         log(BF)
1         3245      6               1                3.3       
4458      5364      4               1                18.5      
1         461       6               2                17.9      
1038      3159      6               2                53.1      
3591      4445      6               2                37.8      
4537      5306      6               2                19.0      
5307      5364      4               2                4.4       
4848      5364      4               3                21.9      
707       875       6               4                4.4       
4338      4519      6               4                8.0       
4537      5364      6               4                28.2      
