RECOMBINATIONS IN LINEAGES
Start     End       Lineage1        Lineage2         log(BF)
1         112       9               1                13.1      
822       885       8               1                4.5       
1         306       9               2                10.0      
307       679       7               2                8.1       
680       724       9               2                2.5       
820       874       7               2                6.3       
1         128       9               4                2.6       
690       814       9               4                6.7       
514       605       8               5                8.7       
725       910       9               5                5.4       
1         169       9               6                3.6       
608       694       9               6                2.3       
1         498       9               8                32.4      
