RECOMBINATIONS IN LINEAGES
Start     End       Lineage1        Lineage2         log(BF)
1         159       2               1                7.0       
458       577       2               1                8.2       
578       730       6               1                6.3       
903       1070      4               1                3.8       
408       647       4               2                15.8      
648       977       5               2                15.2      
168       549       6               3                32.2      
909       1311      5               3                3.3       
1312      1638      6               3                15.0      
128       242       6               4                20.5      
386       1638      6               4                8.7       
648       706       6               5                2.9       
