RECOMBINATIONS IN LINEAGES
Start     End       Lineage1        Lineage2         log(BF)
1         93        6               2                5.5       
182       269       5               2                5.1       
759       805       7               2                4.4       
806       870       8               2                10.6      
1         31        6               3                2.5       
192       300       5               3                2.7       
354       544       4               3                17.0      
545       594       6               3                3.1       
595       636       8               3                4.6       
637       676       7               3                4.4       
677       699       8               3                5.4       
700       815       7               3                12.7      
816       870       8               3                11.9      
155       288       8               4                3.9       
759       870       7               4                7.4       
340       436       6               5                4.4       
1         393       8               6                24.9      
1         582       8               7                26.3      
