RECOMBINATIONS IN LINEAGES
Start     End       Lineage1        Lineage2         log(BF)
1         48        3               2                10.6      
49        105       6               2                13.2      
106       194       3               2                16.4      
329       338       6               2                9.4       
433       448       6               2                9.6       
522       564       6               2                4.0       
1189      1310      4               2                14.4      
1311      1422      6               2                4.3       
1         212       6               4                92.2      
1511      1688      6               5                6.9       
