RECOMBINATIONS IN LINEAGES
Start     End       Lineage1        Lineage2         log(BF)
1169      1375      2               1                29.5      
1376      1496      6               1                4.6       
1520      1921      6               1                88.7      
2224      3942      6               1                144.7     
5748      6145      4               1                88.1      
6146      6209      5               1                5.3       
6210      6341      4               1                32.0      
6342      6374      5               1                3.9       
6375      6533      4               1                39.1      
6534      6576      5               1                3.5       
1         464       6               2                267.0     
465       820       5               2                139.1     
821       1040      6               2                18.9      
6537      6576      6               2                24.5      
710       3037      6               3                65.1      
4775      4793      4               3                4.0       
6510      6539      4               3                7.5       
6540      6576      5               3                8.8       
1         274       6               4                93.9      
1118      1216      5               4                22.6      
2591      2617      5               4                4.2       
2618      4010      6               4                294.9     
4011      4068      5               4                11.9      
4430      4457      6               4                2.7       
4583      4621      6               4                4.6       
4888      5002      6               4                40.7      
6146      6191      5               4                6.2       
6340      6374      5               4                6.1       
6544      6576      5               4                5.6       
685       1114      6               5                64.5      
3769      3803      6               5                9.0       
4562      4570      6               5                4.9       
5460      5468      6               5                3.0       
