RECOMBINATIONS IN LINEAGES
Start     End       Lineage1        Lineage2         log(BF)
31        126       5               1                7.8       
180       246       4               1                4.0       
434       493       6               1                2.7       
542       589       3               1                3.7       
590       712       6               1                8.2       
793       903       6               1                4.8       
511       737       6               2                3.2       
738       746       3               2                4.1       
157       670       6               3                7.3       
770       903       6               3                5.0       
268       903       6               5                20.4      
