RECOMBINATIONS IN LINEAGES
Start     End       Lineage1        Lineage2         log(BF)
1         159       2               1                3.8       
160       787       4               1                13.0      
788       929       5               1                18.0      
1116      1158      5               1                17.7      
1546      1884      5               1                78.1      
3801      4141      3               1                24.2      
6953      8325      5               1                55.7      
8414      8837      3               1                29.4      
1         598       4               2                13.9      
599       651       3               2                12.4      
834       1046      3               2                104.4     
1047      1845      5               2                347.0     
7134      8837      5               2                8.1       
1         684       4               3                3.4       
5296      5986      5               3                55.6      
5987      6129      4               3                8.1       
6130      7170      5               3                10.5      
8762      8837      4               3                4.2       
1455      1837      5               4                134.9     
4932      5005      5               4                6.1       
