RECOMBINATIONS IN LINEAGES
Start     End       Lineage1        Lineage2         log(BF)
1         143       6               1                4.5       
289       601       2               1                5.2       
602       1965      7               1                7.8       
1975      2406      7               1                10.2      
1         91        6               2                2.3       
144       234       6               2                2.3       
648       840       6               2                8.6       
841       1302      7               2                9.7       
1303      1706      6               2                20.6      
1707      1869      7               2                6.3       
223       425       7               4                2.7       
1558      2406      7               4                2.7       
1         481       7               5                11.0      
696       840       6               5                7.9       
841       1184      7               5                13.2      
1185      2406      6               5                18.4      
223       584       7               6                7.7       
