RECOMBINATIONS IN LINEAGES
Start     End       Lineage1        Lineage2         log(BF)
1         240       6               2                4.8       
241       438       5               2                8.0       
439       682       6               2                4.0       
683       806       5               2                7.9       
807       1123      4               2                11.1      
1252      1330      6               2                2.8       
1331      1398      3               2                2.7       
1399      1494      6               2                11.7      
1495      1725      3               2                7.4       
631       806       5               3                5.5       
807       916       4               3                4.9       
1023      1098      4               3                2.5       
1374      1494      6               3                9.9       
1103      1231      6               4                3.7       
902       1725      6               5                3.2       
