RECOMBINATIONS IN LINEAGES
Start     End       Lineage1        Lineage2         log(BF)
240       781       5               1                7.3       
782       1227      6               1                8.1       
1         239       5               2                7.2       
240       331       3               2                2.6       
362       451       3               2                2.6       
452       699       5               2                8.7       
700       1227      6               2                10.0      
452       769       5               3                8.0       
1         781       5               4                12.0      
782       1227      6               5                14.0      
